case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,719,59.9167,606,50.5000,607,15.5772,2,607,15.6944,0.5752,16.6427,33.3117,33.3419,33.4432,32.8031,33.3376,33.4702,19.1787,19.7756,33.9177,0,0,0,757,0
small-60-at-120,Native,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,720,60.0000,720,0.0000,0,1330,7.6389,0.6107,8.3371,16.6622,16.7309,25.0268,16.1016,25.0034,33.3805,9.5784,9.7442,24.9970,0,0,0,900,0
