case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks,publicationMode
small-30-at-30,UdonVM,Codec_Luma4,640,360,32,57,1,30,30,12.0000,30.0000,360,30.0000,355,29.5833,356,1.1111,0,356,1.1111,1.9533,33.2660,33.5124,66.5424,66.6115,32.5627,33.5636,66.6885,33.5408,33.5376,35.9310,0,0,0,437,0,wall-clock
small-60-at-30,UdonVM,Codec_Luma4,640,360,32,57,1,60,30,12.0000,30.0000,360,30.0000,356,29.6667,357,0.8333,360,357,0.8333,1.9692,33.2608,33.5054,33.6837,66.8162,32.5077,33.5655,66.8888,33.5447,33.2597,35.9218,0,0,0,445,0,wall-clock
hd-large-every-frame-at-30,UdonVM,Codec_Luma4,1280,720,4096,4121,1,30,30,12.0000,30.0000,360,30.0000,350,29.1667,351,2.5000,0,351,2.5000,12.6740,33.2584,34.9965,66.7851,67.7422,28.2216,35.0685,67.7986,34.1110,35.0076,48.3179,0,0,0,438,0,every-update
sustained-every-frame-at-30,UdonVM,Codec_Luma4,640,360,32,57,1,30,30,60.0000,30.0000,1800,30.0000,1757,29.2833,1758,2.3333,0,1758,2.3333,2.0436,33.2629,33.5275,66.6068,67.0589,32.5569,33.5846,67.1005,33.4783,33.9987,36.2217,0,0,0,1845,0,every-update
