case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,695,57.9167,656,54.6667,657,5.4676,25,681,5.4167,2.0969,16.5927,33.1920,33.3971,33.5554,31.2200,33.3595,50.0393,17.0312,18.2521,35.4809,0,0,0,817,0
small-60-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,720,60.0000,720,0.0000,0,1399,2.8472,2.0414,8.5105,8.7102,17.1205,17.1864,7.3198,25.0854,33.6761,8.7519,8.8162,26.9693,0,0,0,900,0
hd-large,UdonVM,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,77.9167,720,60.0000,494,41.1667,495,31.2500,0,495,47.0588,11.8915,26.9469,28.9949,29.8379,34.7651,17.2456,29.0642,30.1018,25.2306,26.7311,51.6554,0,0,0,615,0
