color_space,source_format,source_linear,source_kind,filter,policy,target_format,target_srgb,different_channels,max_abs_error
Gamma,RGBAHalf,False,RenderTexture,Point,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,False,RenderTexture,Point,Auto,ARGBHalf,False,0,0
Gamma,RGBAHalf,False,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAHalf,False,RenderTexture,Bilinear,Manual,ARGBHalf,False,0,0
Gamma,RGBAHalf,False,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,False,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,False,RenderTexture,Bilinear,Auto,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,Texture2D,Point,Manual,ARGBFloat,False,0,0
Gamma,RGBAHalf,True,Texture2D,Point,Manual,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,Texture2D,Point,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,Texture2D,Point,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,Texture2D,Point,Auto,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAHalf,True,Texture2D,Bilinear,Manual,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,Texture2D,Bilinear,Auto,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Gamma,RGBAHalf,True,RenderTexture,Point,Manual,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,RenderTexture,Point,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,RenderTexture,Point,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,RenderTexture,Point,Auto,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGBHalf,False,0,0
Gamma,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.243164063
Gamma,RGBAHalf,True,RenderTexture,Bilinear,Auto,ARGBHalf,False,0,0
Gamma,RGBAFloat,False,Texture2D,Point,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,Texture2D,Point,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,False,Texture2D,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,Texture2D,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,Texture2D,Point,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,Texture2D,Bilinear,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,RenderTexture,Point,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,False,RenderTexture,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,RenderTexture,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,RenderTexture,Point,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,False,RenderTexture,Bilinear,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,Texture2D,Point,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,Texture2D,Point,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,True,Texture2D,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,Texture2D,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,Texture2D,Point,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,Texture2D,Bilinear,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,RenderTexture,Point,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,True,RenderTexture,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,RenderTexture,Point,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,RenderTexture,Point,Auto,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Gamma,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Gamma,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.242751002
Gamma,RGBAFloat,True,RenderTexture,Bilinear,Auto,ARGBFloat,False,0,0
