scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,7.8964,7.2000,12.6000,14.5000,2.8506,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.4230,0.4000,0.7000,2.4000,0.1527,-1.0000,-1
Host.DecodeNow,361,383.9249,383.1000,455.8000,528.8000,138.5969,-1.0000,-1
Host.Publish,361,5130.9884,5246.6000,5495.8000,5738.7000,1852.2868,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.5483,7.5000,13.0000,24.3000,6.1719,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,0.9650,0.9000,1.6000,3.8000,2.0901,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,8.0798,7.6000,11.7000,26.1000,2.9168,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,442.6825,429.5000,584.9000,665.8000,159.8084,-1.0000,-1
TSMPDecoder.DecodeNow,361,376.0139,375.7000,445.2000,513.7000,135.7410,-1.0000,-1
TSMPEncoder.EncodeNow,361,5109.2947,5226.6000,5462.2000,5699.1000,1844.4554,-1.0000,-1
