case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,695,57.9167,684,57.0000,685,1.4388,25,710,1.3889,1.9465,16.6135,16.8450,33.2434,33.4828,15.8152,16.9830,50.2129,17.1366,16.6173,34.7158,0,0,0,854,0
small-60-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0833,720,60.0000,720,60.0000,720,0.0000,0,1430,0.7634,1.9345,8.4388,8.6051,9.1488,17.0676,7.4934,25.0702,33.4816,8.5734,8.4360,26.9039,0,0,0,900,0
