case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder
sender-only-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,720,60.0000,0,0.0000,0,100.0000,0,0,0.0000,0.5942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
small-60-at-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,720,60.0000,351,29.2500,352,51.1111,0,352,51.1111,0.5755,33.3048,33.8463,50.0427,66.7431,33.3398,33.8783,66.7648,34.0156,34.1676,50.9456,0,0,0
small-60-at-120,Native,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,695,57.9167,696,3.3333,0,696,51.6667,0.5565,24.9371,25.0654,33.2954,33.6051,24.4647,24.9901,25.3372,22.1732,22.0709,34.0490,0,0,0
small-60-at-144,Native,Codec_Luma4,640,360,32,57,1,60,144,12.0000,144.0000,720,60.0000,719,59.9167,720,0.0000,0,957,44.6181,0.5703,13.8755,20.8094,20.8410,27.7337,20.2531,20.8549,27.8244,15.0200,14.6849,27.8336,0,0,0
small-60-at-180,Native,Codec_Luma4,640,360,32,57,1,60,180,12.0000,180.0000,720,60.0000,720,60.0000,720,0.0000,0,1384,35.9259,0.5751,11.1128,16.6551,16.6739,16.6840,16.0962,22.2168,22.2626,11.6407,11.5280,22.3065,0,0,0
small-60-at-240,Native,Codec_Luma4,640,360,32,57,1,60,240,12.0000,239.9167,720,60.0000,720,60.0000,720,0.0000,0,2110,26.7107,0.5680,8.3373,12.4846,12.5210,16.6662,9.8223,20.8282,25.0092,8.5017,8.6665,20.9089,0,0,0
codec-1-sample4,Native,Codec_RGB16,640,360,1024,1049,4,60,120,12.0000,120.0000,720,60.0000,700,58.3333,701,2.6389,0,701,51.3194,0.7187,24.9376,24.9942,33.2814,33.3377,24.2190,24.9557,25.5585,21.3917,22.4109,34.0823,0,0,0
sustained-60,Native,Codec_Luma4,640,360,32,57,1,60,60,60.0000,59.9833,3581,59.6833,1732,28.8667,1733,51.6057,19,1733,51.8477,0.6095,33.3048,49.9611,50.0100,66.8647,49.4024,49.9878,58.9981,34.5911,34.6100,67.1992,0,0,0
