case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder
small-60-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,720,60.0000,348,29.0000,349,51.5278,0,349,51.5278,1.8656,33.2690,49.8688,50.0021,66.8028,48.1000,49.9392,66.8678,34.1213,33.9793,68.2962,0,0,0
small-60-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,715,59.5833,716,0.5556,0,716,50.2778,1.8457,16.6618,24.9237,25.0553,33.2656,16.6566,16.7599,25.1446,19.0273,19.5145,35.1689,0,0,0
small-60-at-144,UdonVM,Codec_Luma4,640,360,32,57,1,60,144,12.0000,144.0000,720,60.0000,720,60.0000,720,0.0000,0,999,42.1875,1.8807,13.8581,13.9975,20.8207,21.1186,12.9728,20.8778,27.8931,14.2637,14.0640,27.8854,0,0,0
small-60-at-180,UdonVM,Codec_Luma4,640,360,32,57,1,60,180,12.0000,180.0000,720,60.0000,720,60.0000,720,0.0000,0,1418,34.3519,1.8685,11.1335,11.2268,16.7361,16.9063,10.1605,16.7618,22.3427,11.2291,11.4788,22.4215,0,0,0
small-60-at-240,UdonVM,Codec_Luma4,640,360,32,57,1,60,240,12.0000,240.0000,720,60.0000,720,60.0000,720,0.0000,0,2091,27.3958,1.8621,8.3555,12.5205,12.6397,16.7367,10.6209,20.8206,25.1007,8.6024,8.7191,21.0269,0,0,0
