case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,717,59.7500,680,56.6667,681,5.0209,3,684,5.0000,2.1152,16.5795,33.1369,33.3491,33.4963,30.9979,33.2623,33.5560,17.2270,17.6147,35.3493,0,0,0,855,0
small-60-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,720,60.0000,720,0.0000,0,1398,2.9167,2.0623,8.5209,16.7980,17.0680,25.4527,8.5117,24.9825,33.4911,8.9633,9.0244,19.3397,0,0,0,900,0
hd-large,UdonVM,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,77.5833,720,60.0000,492,41.0000,493,31.5278,0,493,47.0462,12.0771,27.6647,29.3961,30.0008,33.6484,17.4192,29.4571,31.8298,26.5119,25.9332,52.6788,0,0,0,609,0
