case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,59.9167,715,59.5833,713,59.4167,715,0.0000,5,719,0.0000,0.5807,33.3033,33.3814,33.8525,34.0087,33.0448,16.7532,33.4892,32.9528,33.3080,34.1099,0,0,0,889,0
small-60-at-120,Native,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,719,59.9167,720,0.0000,0,1440,0.0000,0.5633,16.6423,16.7013,17.1963,17.2645,16.3667,16.7294,25.0816,16.5382,16.5034,25.0252,0,0,0,901,0
hd-large,Native,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,120.0000,720,60.0000,719,59.9167,720,0.0000,0,1440,0.0000,3.8694,16.6397,16.6988,16.7691,19.1070,14.5502,16.7274,25.1045,16.4658,16.6143,25.0339,0,0,0,901,0
sustained-60,Native,Codec_Luma4,640,360,32,57,1,60,60,60.0000,59.9833,3599,59.9833,3597,59.9500,3599,0.0000,1,3599,0.0000,0.6014,33.3029,33.3961,33.8434,45.2600,33.0385,16.7465,33.4244,33.1656,33.2143,34.0689,0,0,0,3774,0
