case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks,publicationMode
small-30-at-30,Native,Codec_Luma4,640,360,32,57,1,30,30,12.0000,30.0000,360,30.0000,304,25.3333,305,15.2778,0,305,15.2778,0.6300,33.3047,66.6425,66.7107,67.1643,66.1236,66.6709,67.2178,38.8058,39.9649,67.5246,0,0,0,365,0,wall-clock
small-60-at-30,Native,Codec_Luma4,640,360,32,57,1,60,30,12.0000,29.9167,359,29.9167,316,26.3333,317,11.6992,360,317,11.6992,0.6346,33.3033,66.6461,66.8229,67.3424,66.1364,66.6771,67.3714,36.0318,38.7489,67.4394,0,0,0,401,0,wall-clock
hd-large-every-frame-at-30,Native,Codec_Luma4,1280,720,4096,4121,1,30,30,12.0000,30.0000,360,30.0000,292,24.3333,293,18.6111,0,293,18.6111,3.8960,33.3048,66.6584,66.8640,68.2930,63.2137,66.6885,68.3250,41.2171,41.1160,70.7670,0,0,0,363,0,every-update
sustained-every-frame-at-30,Native,Codec_Luma4,640,360,32,57,1,30,30,60.0000,30.0000,1800,30.0000,1578,26.3000,1579,12.2778,0,1579,12.2778,0.6440,33.3038,66.6402,66.7231,67.2437,66.1185,66.6733,67.2760,38.2065,37.5694,67.4365,0,0,0,1657,0,every-update
