case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,720,60.0000,654,54.5000,655,9.0278,0,655,9.0278,0.7820,16.6129,33.2813,33.3349,33.8024,32.6518,33.3300,33.8612,18.5467,18.0525,34.0690,0,0,0,810,0
small-60-at-120,Native,Codec_Luma4,640,360,32,57,1,60,120,12.0000,119.9167,720,60.0000,719,59.9167,720,0.0000,0,1284,10.7714,0.7020,8.3385,16.6734,17.0156,25.0815,16.1340,25.0130,33.4854,9.8583,10.4543,25.0258,0,0,0,901,0
hd-large,Native,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,120.0000,720,60.0000,720,60.0000,720,0.0000,0,1259,12.5694,3.8165,8.3484,16.6859,16.8586,24.9863,13.1513,25.0168,33.3405,10.3563,10.9132,25.0150,0,0,0,900,0
