case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks,publicationMode
small-30-at-30,UdonVM,Codec_Luma4,640,360,32,57,1,30,30,12.0000,30.0000,360,30.0000,358,29.8333,360,0.0000,0,360,0.0000,1.9561,66.5906,66.8469,66.9207,67.3307,65.6700,33.5732,66.5102,66.3138,66.5906,69.2054,0,0,0,449,0,wall-clock
small-60-at-30,UdonVM,Codec_Luma4,640,360,32,57,1,60,30,12.0000,30.0000,360,30.0000,358,29.8333,360,0.0000,360,360,0.0000,1.9359,66.5929,66.8428,66.9088,67.0266,65.2682,33.5350,33.6971,66.5902,66.5942,69.2087,0,0,0,450,0,wall-clock
hd-large-every-frame-at-30,UdonVM,Codec_Luma4,1280,720,4096,4121,1,30,30,12.0000,30.0000,360,30.0000,358,29.8333,360,0.0000,0,360,0.0000,11.8823,66.5870,68.1493,68.4437,70.1771,60.3176,34.8930,63.0646,66.5974,66.5958,79.9905,0,0,0,450,0,every-update
sustained-every-frame-at-30,UdonVM,Codec_Luma4,640,360,32,57,1,30,30,60.0000,29.9833,1799,29.9833,1798,29.9667,1799,0.0000,0,1799,0.0000,1.9566,66.5925,66.8649,67.0033,67.2961,65.8113,33.5770,66.5131,66.4801,66.3690,69.2747,0,0,0,1890,0,every-update
