scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,7.4889,7.1000,11.2000,33.4000,2.7035,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.4632,0.4000,0.7000,9.6000,0.1672,-1.0000,-1
Host.DecodeNow,361,374.1368,378.2000,444.4000,598.7000,135.0634,-1.0000,-1
Host.Publish,361,494.1529,482.9000,663.9000,769.8000,178.3892,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.3010,7.5000,12.0000,24.7000,5.9933,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,0.9882,0.9000,1.8000,17.9000,2.1405,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,7.6587,7.4000,10.7000,29.0000,2.7648,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,428.0355,425.4000,556.1000,622.6000,154.5208,-1.0000,-1
TSMPDecoder.DecodeNow,361,366.7668,370.9000,435.5000,590.7000,132.4028,-1.0000,-1
TSMPEncoder.EncodeNow,361,474.3413,464.2000,632.2000,702.9000,171.2372,-1.0000,-1
