scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,721,7.0436,6.8000,10.0000,49.7000,5.0784,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,721,0.4141,0.4000,0.6000,1.0000,0.2986,-1.0000,-1
Host.DecodeNow,721,369.5295,373.4000,433.2000,610.3000,266.4308,-1.0000,-1
Host.Publish,721,470.0648,471.1000,556.3000,743.2000,338.9167,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,1442,8.2528,7.5000,10.4000,106.8000,11.9005,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,4326,0.9343,0.9000,1.4000,9.7000,4.0417,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,721,7.5065,7.4000,10.2000,16.0000,5.4122,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,721,414.5839,418.1000,478.7000,633.2000,298.9150,-1.0000,-1
TSMPDecoder.DecodeNow,721,362.4219,366.3000,424.5000,601.0000,261.3062,-1.0000,-1
TSMPEncoder.EncodeNow,721,452.5222,453.8000,535.5000,708.6000,326.2685,-1.0000,-1
