color_space,source_format,source_linear,source_kind,filter,policy,target_format,target_srgb,different_channels,max_abs_error
Linear,RGBAHalf,True,RenderTexture,Point,Manual,ARGB32,True,2934,0.243164063
Linear,RGBAHalf,True,RenderTexture,Point,Auto,ARGBHalf,False,0,0
Linear,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGBHalf,False,0,0
Linear,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.243164063
Linear,RGBAHalf,True,RenderTexture,Bilinear,Manual,ARGB32,True,2934,0.243164063
Linear,RGBAHalf,True,RenderTexture,Bilinear,Auto,ARGBHalf,False,0,0
Linear,RGBAFloat,False,Texture2D,Point,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,False,Texture2D,Point,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,False,Texture2D,Point,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,False,Texture2D,Point,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,False,Texture2D,Point,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,False,Texture2D,Bilinear,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,False,Texture2D,Bilinear,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,False,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,False,RenderTexture,Point,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,False,RenderTexture,Point,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,False,RenderTexture,Point,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,False,RenderTexture,Point,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,False,RenderTexture,Bilinear,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,False,RenderTexture,Bilinear,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,True,Texture2D,Point,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,True,Texture2D,Point,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,True,Texture2D,Point,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,True,Texture2D,Point,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,True,Texture2D,Point,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,True,Texture2D,Bilinear,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,True,Texture2D,Bilinear,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,True,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,True,RenderTexture,Point,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,True,RenderTexture,Point,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,True,RenderTexture,Point,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,True,RenderTexture,Point,Auto,ARGBFloat,False,0,0
Linear,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGBHalf,False,3062,0.000975966454
Linear,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGB32,False,3071,0.242751002
Linear,RGBAFloat,True,RenderTexture,Bilinear,Manual,ARGB32,True,3071,0.242751002
Linear,RGBAFloat,True,RenderTexture,Bilinear,Auto,ARGBFloat,False,0,0
