case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder,predictedReadbacks,predictionFallbacks
small-60-at-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,59.9167,713,59.4167,634,52.8333,635,10.9397,6,639,11.1266,0.5806,16.6409,33.3021,33.3265,33.9097,32.7800,33.3309,33.9260,19.4016,18.5921,34.0683,0,0,0,794,0
small-60-at-120,Native,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,720,60.0000,720,0.0000,0,1360,5.5556,0.5875,8.3363,16.6535,16.7223,24.9908,15.9679,24.9996,33.3672,9.3315,8.9911,24.9967,0,0,0,901,0
hd-large,Native,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,119.9167,720,60.0000,720,60.0000,720,0.0000,0,1287,10.5629,3.6891,8.3473,16.6775,16.7429,24.9616,13.1266,25.0053,33.3557,10.1149,10.1842,25.0196,0,0,0,901,0
sustained-60,Native,Codec_Luma4,640,360,32,57,1,60,60,60.0000,60.0000,3600,60.0000,3212,53.5333,3213,10.7500,0,3213,10.7500,0.5799,16.6409,33.3046,33.3516,33.8689,32.7839,33.3328,33.8974,18.8238,18.6836,34.0619,0,0,0,3367,0
